epoch,train_loss,val_auroc,val_accuracy,val_f1_weighted,model,fewshot_frac,seed,organ
2,4.224680423736572,0.443595082704302,0.19491525423728814,0.15832502492522435,BERT +Txt Enc (std),0.01,42,breast
3,1.2930001020431519,0.4914649834292691,0.559322033898305,0.401252763448784,BERT +Txt Enc (std),0.01,42,breast
4,0.8896499872207642,0.5415369744688682,0.5508474576271186,0.3973325923867741,BERT +Txt Enc (std),0.01,42,breast
1,1.9895720481872559,0.4461548867798868,0.559322033898305,0.401252763448784,BERT +Txt Enc (std),0.05,42,breast
2,1.3847339153289795,0.5005338204154649,0.559322033898305,0.401252763448784,BERT +Txt Enc (std),0.05,42,breast
3,1.089600294828415,0.4872432165932996,0.559322033898305,0.4034454015004168,BERT +Txt Enc (std),0.05,42,breast
4,0.9438293278217316,0.48659150926592787,0.559322033898305,0.401252763448784,BERT +Txt Enc (std),0.05,42,breast
1,2.1618970036506653,0.5784425453653028,0.559322033898305,0.401252763448784,BERT +Txt Enc (std),0.1,42,breast
2,1.0845175981521606,0.5034016567135339,0.5169491525423728,0.4243489045059943,BERT +Txt Enc (std),0.1,42,breast
3,0.977847158908844,0.5575129812048417,0.559322033898305,0.401252763448784,BERT +Txt Enc (std),0.1,42,breast
4,1.0356932878494263,0.5636718912777883,0.559322033898305,0.401252763448784,BERT +Txt Enc (std),0.1,42,breast
1,1.313900351524353,0.5204736858287523,0.3305084745762712,0.3018661259763531,CLIP MLP Only (LLM),0.01,42,breast
2,1.0565650463104248,0.5116245407877468,0.4322033898305085,0.3972752867373354,CLIP MLP Only (LLM),0.01,42,breast
3,1.155004858970642,0.49373447819253463,0.559322033898305,0.401252763448784,CLIP MLP Only (LLM),0.01,42,breast
4,0.9436320066452026,0.4963267836814349,0.288135593220339,0.24988064730905174,CLIP MLP Only (LLM),0.01,42,breast
1,1.2041070461273193,0.5103686607320328,0.2711864406779661,0.11570621468926555,CLIP MLP Only (LLM),0.05,42,breast
2,1.1362834572792053,0.476193681042103,0.5677966101694916,0.472140101434826,CLIP MLP Only (LLM),0.05,42,breast
3,1.0311411023139954,0.5012220821813845,0.559322033898305,0.401252763448784,CLIP MLP Only (LLM),0.05,42,breast
4,1.0685538053512573,0.5067821482688593,0.559322033898305,0.401252763448784,CLIP MLP Only (LLM),0.05,42,breast
1,1.3053417205810547,0.564367845379058,0.576271186440678,0.4601094586730898,CLIP MLP Only (LLM),0.1,42,breast
2,0.9959529340267181,0.5706275313833453,0.559322033898305,0.401252763448784,CLIP MLP Only (LLM),0.1,42,breast
3,0.9865000396966934,0.5715382151532483,0.559322033898305,0.401252763448784,CLIP MLP Only (LLM),0.1,42,breast
4,0.9370127618312836,0.5763012919159097,0.5508474576271186,0.5046206618240516,CLIP MLP Only (LLM),0.1,42,breast
1,1.9893890619277954,0.572781673383833,0.1694915254237288,0.04912797838368951,CLIP +Txt Enc (LLM),0.01,42,breast
2,4.029690742492676,0.6143460602243825,0.2796610169491525,0.15490857239296135,CLIP +Txt Enc (LLM),0.01,42,breast
3,1.0473617315292358,0.5560057352208515,0.559322033898305,0.41492405899185564,CLIP +Txt Enc (LLM),0.01,42,breast
4,0.819325864315033,0.5366220677163368,0.5423728813559322,0.4346959122632104,CLIP +Txt Enc (LLM),0.01,42,breast
1,3.0371261835098267,0.43854607578652427,0.19491525423728814,0.18711187929506154,CLIP +Txt Enc (LLM),0.05,42,breast
2,1.8815962076187134,0.4277645077790427,0.559322033898305,0.401252763448784,CLIP +Txt Enc (LLM),0.05,42,breast
3,1.0415744483470917,0.48207754316558304,0.2796610169491525,0.15012106537530268,CLIP +Txt Enc (LLM),0.05,42,breast
4,0.9429706335067749,0.5069305267914072,0.559322033898305,0.4512351891601426,CLIP +Txt Enc (LLM),0.05,42,breast
1,3.5626057386398315,0.5583772124885082,0.5677966101694916,0.4216142780449859,CLIP +Txt Enc (LLM),0.1,42,breast
2,1.116913080215454,0.564536407206673,0.5932203389830508,0.5082260246024727,CLIP +Txt Enc (LLM),0.1,42,breast
3,0.9243836551904678,0.5805493947728168,0.5423728813559322,0.49053785110212106,CLIP +Txt Enc (LLM),0.1,42,breast
4,0.8655521422624588,0.5520490088077298,0.5677966101694916,0.510005467468562,CLIP +Txt Enc (LLM),0.1,42,breast
1,1.013007640838623,0.6189707072182155,0.5084745762711864,0.49304239536520655,BERT MLP Only (LLM),0.01,42,breast
2,0.977798581123352,0.5261714729530343,0.2796610169491525,0.2691906517057205,BERT MLP Only (LLM),0.01,42,breast
3,1.0457634925842285,0.5443783652670696,0.22033898305084745,0.14169716296613682,BERT MLP Only (LLM),0.01,42,breast
4,1.0832839012145996,0.5329536534893679,0.2627118644067797,0.20848824494259158,BERT MLP Only (LLM),0.01,42,breast
1,1.5431606769561768,0.5191951309580046,0.2542372881355932,0.15161787365177196,BERT MLP Only (LLM),0.05,42,breast
2,1.4089486598968506,0.4913284343932183,0.2711864406779661,0.11570621468926555,BERT MLP Only (LLM),0.05,42,breast
3,1.4984805583953857,0.4864303781766406,0.2711864406779661,0.11648276646570356,BERT MLP Only (LLM),0.05,42,breast
4,1.0901477932929993,0.47744134787324155,0.3389830508474576,0.2578467727505507,BERT MLP Only (LLM),0.05,42,breast
1,1.5998590588569641,0.5140632196799141,0.5338983050847458,0.46307486015967325,BERT MLP Only (LLM),0.1,42,breast
2,1.2099097669124603,0.41675289572922464,0.1694915254237288,0.04912797838368951,BERT MLP Only (LLM),0.1,42,breast
3,1.1382599025964737,0.46440001835558314,0.559322033898305,0.401252763448784,BERT MLP Only (LLM),0.1,42,breast
4,1.2015443742275238,0.5272929854844307,0.559322033898305,0.401252763448784,BERT MLP Only (LLM),0.1,42,breast
1,2.109083414077759,0.47916237509260756,0.1694915254237288,0.04912797838368951,BERT +Txt Enc (LLM),0.01,42,breast
2,4.443903923034668,0.46196874254390874,0.1694915254237288,0.04912797838368951,BERT +Txt Enc (LLM),0.01,42,breast
3,2.026043653488159,0.472932440851876,0.1440677966101695,0.06924714229404809,BERT +Txt Enc (LLM),0.01,42,breast
4,1.0622690916061401,0.4837166905169397,0.559322033898305,0.4164614012873702,BERT +Txt Enc (LLM),0.01,42,breast
1,2.483168840408325,0.484823327742763,0.559322033898305,0.401252763448784,BERT +Txt Enc (LLM),0.05,42,breast
2,2.137841582298279,0.4948931455679795,0.559322033898305,0.401252763448784,BERT +Txt Enc (LLM),0.05,42,breast
3,1.0435693264007568,0.5337498165363613,0.559322033898305,0.401252763448784,BERT +Txt Enc (LLM),0.05,42,breast
4,1.2886625528335571,0.5306921633645056,0.559322033898305,0.401252763448784,BERT +Txt Enc (LLM),0.05,42,breast
1,3.256641209125519,0.5167089013330708,0.559322033898305,0.401252763448784,BERT +Txt Enc (LLM),0.1,42,breast
2,2.0747047066688538,0.5225463847245408,0.5677966101694916,0.4198809433596875,BERT +Txt Enc (LLM),0.1,42,breast
3,1.0489735305309296,0.5328914809811819,0.559322033898305,0.401252763448784,BERT +Txt Enc (LLM),0.1,42,breast
4,1.2375739216804504,0.523553973481299,0.559322033898305,0.401252763448784,BERT +Txt Enc (LLM),0.1,42,breast
