average_type,n_organs,auroc,accuracy,f1_weighted,model,setting,fewshot_frac,seed
macro,1,0.6902105066820822,0.5384615384615384,0.5324354657687992,BERT +Txt Enc (std),fewshot_adaptation,0.01,42
weighted_by_test_n,1,0.6902105066820822,0.5384615384615384,0.5324354657687992,BERT +Txt Enc (std),fewshot_adaptation,0.01,42
macro,1,0.6965933082403225,0.5726495726495726,0.589238121496186,BERT +Txt Enc (std),fewshot_adaptation,0.01,43
weighted_by_test_n,1,0.6965933082403225,0.5726495726495726,0.589238121496186,BERT +Txt Enc (std),fewshot_adaptation,0.01,43
macro,1,0.6806709741704559,0.5811965811965812,0.5819363401062748,BERT +Txt Enc (std),fewshot_adaptation,0.01,44
weighted_by_test_n,1,0.6806709741704559,0.5811965811965812,0.5819363401062748,BERT +Txt Enc (std),fewshot_adaptation,0.01,44
macro,1,0.586402077821279,0.452991452991453,0.44243654885240624,BERT +Txt Enc (std),fewshot_adaptation,0.01,45
weighted_by_test_n,1,0.586402077821279,0.452991452991453,0.44243654885240624,BERT +Txt Enc (std),fewshot_adaptation,0.01,45
macro,1,0.6107396449451717,0.452991452991453,0.4751257574168153,BERT +Txt Enc (std),fewshot_adaptation,0.01,46
weighted_by_test_n,1,0.6107396449451719,0.452991452991453,0.4751257574168153,BERT +Txt Enc (std),fewshot_adaptation,0.01,46
macro,1,0.7741538797542186,0.6666666666666666,0.6670907352021903,BERT +Txt Enc (std),fewshot_adaptation,0.05,42
weighted_by_test_n,1,0.7741538797542186,0.6666666666666666,0.6670907352021903,BERT +Txt Enc (std),fewshot_adaptation,0.05,42
macro,1,0.6928184789978543,0.5299145299145299,0.5288975440874175,BERT +Txt Enc (std),fewshot_adaptation,0.05,43
weighted_by_test_n,1,0.6928184789978543,0.5299145299145299,0.5288975440874175,BERT +Txt Enc (std),fewshot_adaptation,0.05,43
macro,1,0.7590092260003826,0.5982905982905983,0.6049860305179454,BERT +Txt Enc (std),fewshot_adaptation,0.05,44
weighted_by_test_n,1,0.7590092260003827,0.5982905982905983,0.6049860305179454,BERT +Txt Enc (std),fewshot_adaptation,0.05,44
macro,1,0.582470184394081,0.4358974358974359,0.4242046985023336,BERT +Txt Enc (std),fewshot_adaptation,0.05,45
weighted_by_test_n,1,0.5824701843940809,0.4358974358974359,0.4242046985023336,BERT +Txt Enc (std),fewshot_adaptation,0.05,45
macro,1,0.6945003173354304,0.5811965811965812,0.588077555519416,BERT +Txt Enc (std),fewshot_adaptation,0.05,46
weighted_by_test_n,1,0.6945003173354304,0.5811965811965812,0.588077555519416,BERT +Txt Enc (std),fewshot_adaptation,0.05,46
macro,1,0.771469068484878,0.6752136752136753,0.6713476408132897,BERT +Txt Enc (std),fewshot_adaptation,0.1,42
weighted_by_test_n,1,0.771469068484878,0.6752136752136753,0.6713476408132897,BERT +Txt Enc (std),fewshot_adaptation,0.1,42
macro,1,0.7808447457222067,0.5641025641025641,0.5673085095722697,BERT +Txt Enc (std),fewshot_adaptation,0.1,43
weighted_by_test_n,1,0.7808447457222067,0.5641025641025641,0.5673085095722697,BERT +Txt Enc (std),fewshot_adaptation,0.1,43
macro,1,0.8286480934724864,0.6581196581196581,0.6538891792979288,BERT +Txt Enc (std),fewshot_adaptation,0.1,44
weighted_by_test_n,1,0.8286480934724864,0.6581196581196581,0.6538891792979288,BERT +Txt Enc (std),fewshot_adaptation,0.1,44
macro,1,0.604730989685817,0.5384615384615384,0.5320225205726852,BERT +Txt Enc (std),fewshot_adaptation,0.1,45
weighted_by_test_n,1,0.604730989685817,0.5384615384615384,0.5320225205726852,BERT +Txt Enc (std),fewshot_adaptation,0.1,45
macro,1,0.6891217368693999,0.5299145299145299,0.5428642924211015,BERT +Txt Enc (std),fewshot_adaptation,0.1,46
weighted_by_test_n,1,0.6891217368693999,0.5299145299145299,0.5428642924211015,BERT +Txt Enc (std),fewshot_adaptation,0.1,46
macro,1,0.6030230397735176,0.42735042735042733,0.43879392212725543,BERT Full (LLM),fewshot_adaptation,0.01,42
weighted_by_test_n,1,0.6030230397735176,0.42735042735042733,0.43879392212725543,BERT Full (LLM),fewshot_adaptation,0.01,42
macro,1,0.6718763583184358,0.5042735042735043,0.503162328559154,BERT Full (LLM),fewshot_adaptation,0.01,43
weighted_by_test_n,1,0.6718763583184358,0.5042735042735043,0.503162328559154,BERT Full (LLM),fewshot_adaptation,0.01,43
macro,1,0.6048411395196167,0.4358974358974359,0.4430985223064431,BERT Full (LLM),fewshot_adaptation,0.01,44
weighted_by_test_n,1,0.6048411395196167,0.4358974358974359,0.4430985223064431,BERT Full (LLM),fewshot_adaptation,0.01,44
macro,1,0.5818355921897271,0.48717948717948717,0.4647549310006814,BERT Full (LLM),fewshot_adaptation,0.01,45
weighted_by_test_n,1,0.5818355921897271,0.48717948717948717,0.4647549310006814,BERT Full (LLM),fewshot_adaptation,0.01,45
macro,1,0.5333473130060391,0.452991452991453,0.4709255606691505,BERT Full (LLM),fewshot_adaptation,0.01,46
weighted_by_test_n,1,0.5333473130060391,0.452991452991453,0.4709255606691505,BERT Full (LLM),fewshot_adaptation,0.01,46
macro,1,0.6646034844862295,0.4444444444444444,0.4568956420808273,BERT Full (LLM),fewshot_adaptation,0.05,42
weighted_by_test_n,1,0.6646034844862295,0.4444444444444444,0.4568956420808273,BERT Full (LLM),fewshot_adaptation,0.05,42
macro,1,0.6592198330285294,0.46153846153846156,0.4640019983935328,BERT Full (LLM),fewshot_adaptation,0.05,43
weighted_by_test_n,1,0.6592198330285294,0.46153846153846156,0.4640019983935328,BERT Full (LLM),fewshot_adaptation,0.05,43
macro,1,0.6139337860173922,0.49572649572649574,0.5049553609047852,BERT Full (LLM),fewshot_adaptation,0.05,44
weighted_by_test_n,1,0.6139337860173922,0.49572649572649574,0.5049553609047852,BERT Full (LLM),fewshot_adaptation,0.05,44
macro,1,0.5232084566920929,0.4444444444444444,0.4414109250710558,BERT Full (LLM),fewshot_adaptation,0.05,45
weighted_by_test_n,1,0.5232084566920929,0.4444444444444444,0.4414109250710558,BERT Full (LLM),fewshot_adaptation,0.05,45
macro,1,0.6222747262977605,0.5299145299145299,0.53275414251024,BERT Full (LLM),fewshot_adaptation,0.05,46
weighted_by_test_n,1,0.6222747262977605,0.5299145299145299,0.53275414251024,BERT Full (LLM),fewshot_adaptation,0.05,46
macro,1,0.6556410516739971,0.46153846153846156,0.46704439142275594,BERT Full (LLM),fewshot_adaptation,0.1,42
weighted_by_test_n,1,0.6556410516739971,0.46153846153846156,0.46704439142275594,BERT Full (LLM),fewshot_adaptation,0.1,42
macro,1,0.7073927490086866,0.5555555555555556,0.5637702610029522,BERT Full (LLM),fewshot_adaptation,0.1,43
weighted_by_test_n,1,0.7073927490086866,0.5555555555555556,0.5637702610029522,BERT Full (LLM),fewshot_adaptation,0.1,43
macro,1,0.6483837084287151,0.5299145299145299,0.5528648306426085,BERT Full (LLM),fewshot_adaptation,0.1,44
weighted_by_test_n,1,0.6483837084287151,0.5299145299145299,0.5528648306426085,BERT Full (LLM),fewshot_adaptation,0.1,44
macro,1,0.6136682575554119,0.5213675213675214,0.5239097085250931,BERT Full (LLM),fewshot_adaptation,0.1,45
weighted_by_test_n,1,0.6136682575554119,0.5213675213675214,0.5239097085250931,BERT Full (LLM),fewshot_adaptation,0.1,45
macro,1,0.5876853197930512,0.4700854700854701,0.4770285580465856,BERT Full (LLM),fewshot_adaptation,0.1,46
