organ,n_train,n_val,n_test,n_classes,best_c,val_f1_weighted,accuracy,f1_weighted,auroc,n_eval,model,setting,fewshot_frac,seed
breast,56,118,117,3,1.0,0.5465620184899846,0.5982905982905983,0.5997637628072411,0.7039671099789145,117,BERT MLP Only (std),fewshot_adaptation,0.1,46
breast,8,118,117,3,0.1,0.43082968139878397,0.47863247863247865,0.48037778694015115,0.6185079748292489,117,BERT +Img Enc (std),fewshot_adaptation,0.01,42
breast,8,118,117,3,1.0,0.4618349185515383,0.3333333333333333,0.3754282844132286,0.4509532416610839,117,BERT +Img Enc (std),fewshot_adaptation,0.01,43
breast,8,118,117,3,0.1,0.4478990934174221,0.27350427350427353,0.29524209695344694,0.4710535111680046,117,BERT +Img Enc (std),fewshot_adaptation,0.01,44
breast,8,118,117,3,0.01,0.45588049216580395,0.4700854700854701,0.47473812736970633,0.6347960987190154,117,BERT +Img Enc (std),fewshot_adaptation,0.01,45
breast,8,118,117,3,0.1,0.337093722746988,0.3504273504273504,0.3707622125811552,0.5585477537340428,117,BERT +Img Enc (std),fewshot_adaptation,0.01,46
breast,29,118,117,3,1.0,0.40268429162273944,0.5384615384615384,0.5482812285160494,0.6787139501918561,117,BERT +Img Enc (std),fewshot_adaptation,0.05,42
breast,29,118,117,3,10.0,0.5393891242937853,0.4700854700854701,0.46901035045883355,0.5602074304647916,117,BERT +Img Enc (std),fewshot_adaptation,0.05,43
breast,29,118,117,3,0.01,0.4338336609652588,0.358974358974359,0.3785498445001857,0.5665527073280164,117,BERT +Img Enc (std),fewshot_adaptation,0.05,44
breast,29,118,117,3,10.0,0.4425122899699171,0.5299145299145299,0.5247743058200575,0.6710405557879783,117,BERT +Img Enc (std),fewshot_adaptation,0.05,45
breast,29,118,117,3,10.0,0.4284386700525601,0.4188034188034188,0.4265347128505023,0.5263511411877263,117,BERT +Img Enc (std),fewshot_adaptation,0.05,46
breast,56,118,117,3,10.0,0.4634879284464175,0.5384615384615384,0.5454864907172599,0.6425663227863248,117,BERT +Img Enc (std),fewshot_adaptation,0.1,42
breast,56,118,117,3,10.0,0.49973508972673225,0.5384615384615384,0.5302022903282385,0.6309117648996508,117,BERT +Img Enc (std),fewshot_adaptation,0.1,43
breast,56,118,117,3,10.0,0.5767148273225435,0.5299145299145299,0.5463336324220122,0.6495190216749169,117,BERT +Img Enc (std),fewshot_adaptation,0.1,44
breast,56,118,117,3,10.0,0.5088019901884517,0.5555555555555556,0.5589590964590965,0.6922293141814896,117,BERT +Img Enc (std),fewshot_adaptation,0.1,45
breast,56,118,117,3,1.0,0.43715427145138014,0.49572649572649574,0.48241308879606754,0.6042583370512002,117,BERT +Img Enc (std),fewshot_adaptation,0.1,46
breast,8,118,117,3,0.01,0.43359669540700907,0.5384615384615384,0.5324354657687992,0.6902105066820822,117,BERT +Txt Enc (std),fewshot_adaptation,0.01,42
breast,8,118,117,3,0.1,0.47316484543450266,0.5726495726495726,0.589238121496186,0.6965933082403225,117,BERT +Txt Enc (std),fewshot_adaptation,0.01,43
breast,8,118,117,3,0.1,0.4904150452264958,0.5811965811965812,0.5819363401062748,0.6806709741704559,117,BERT +Txt Enc (std),fewshot_adaptation,0.01,44
breast,8,118,117,3,0.01,0.424254689412569,0.452991452991453,0.44243654885240624,0.586402077821279,117,BERT +Txt Enc (std),fewshot_adaptation,0.01,45
breast,8,118,117,3,10.0,0.49333164102163557,0.452991452991453,0.4751257574168153,0.6107396449451717,117,BERT +Txt Enc (std),fewshot_adaptation,0.01,46
