model,setting,fewshot_frac,average_type,auroc_mean,auroc_std,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,n_organs_mean
CLIP MLP Only (std),fewshot_adaptation,0.01,weighted_by_test_n,0.6288180765811848,0.07276067043007887,0.4854700854700855,0.08317429487660082,0.489315659269811,0.08334481630347619,1.0
CLIP MLP Only (std),fewshot_adaptation,0.05,macro,0.7171009913475851,0.062031343455852414,0.5709401709401709,0.08576870908924514,0.5752297211192724,0.08585365791108901,1.0
CLIP MLP Only (std),fewshot_adaptation,0.05,weighted_by_test_n,0.7171009913475851,0.062031343455852414,0.5709401709401709,0.08576870908924514,0.5752297211192724,0.08585365791108901,1.0
CLIP MLP Only (std),fewshot_adaptation,0.1,macro,0.7324114379232782,0.05028624259126918,0.5965811965811966,0.0602548948103062,0.6028277993006277,0.0519571898814032,1.0
CLIP MLP Only (std),fewshot_adaptation,0.1,weighted_by_test_n,0.7324114379232782,0.05028624259126918,0.5965811965811966,0.0602548948103062,0.6028277993006277,0.0519571898814032,1.0
OpenAI CLIP,fewshot_adaptation,0.01,macro,0.7260838310508096,0.0536524232349551,0.5777777777777777,0.04081140644893445,0.5720437700722035,0.043976490283133274,1.0
OpenAI CLIP,fewshot_adaptation,0.01,weighted_by_test_n,0.7260838310508098,0.05365242323495515,0.5777777777777777,0.04081140644893445,0.5720437700722035,0.043976490283133274,1.0
OpenAI CLIP,fewshot_adaptation,0.05,macro,0.8232330058643443,0.031807373687850096,0.6837606837606838,0.038223384230765683,0.684957177927725,0.03530831637073456,1.0
OpenAI CLIP,fewshot_adaptation,0.05,weighted_by_test_n,0.8232330058643443,0.03180737368785018,0.6837606837606838,0.038223384230765683,0.684957177927725,0.03530831637073456,1.0
OpenAI CLIP,fewshot_adaptation,0.1,macro,0.8567972766816367,0.043788807768017905,0.7128205128205127,0.03705894596355355,0.716812116869997,0.03655631478716087,1.0
OpenAI CLIP,fewshot_adaptation,0.1,weighted_by_test_n,0.8567972766816367,0.043788807768017905,0.7128205128205127,0.03705894596355355,0.716812116869997,0.03655631478716087,1.0
