model,setting,fewshot_frac,seed,organ,dataset,direction,n_retrieval_pairs,n_train_support,best_val_f1_weighted,R@1,R@5,R@10
BERT LLM | MLP + image encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,I2T,111,52,0.4775319039230009,0.009009009009009009,0.04504504504504504,0.09009009009009009
BERT LLM | MLP + image encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,T2I,111,52,0.4775319039230009,0.0,0.07207207207207207,0.0990990990990991
BERT LLM | MLP + text encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,I2T,111,8,0.5638820638820639,0.009009009009009009,0.04504504504504504,0.0990990990990991
BERT LLM | MLP + text encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,T2I,111,8,0.5638820638820639,0.0,0.036036036036036036,0.08108108108108109
BERT LLM | MLP + text encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,I2T,111,27,0.44342647732478246,0.018018018018018018,0.07207207207207207,0.11711711711711711
BERT LLM | MLP + text encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,T2I,111,27,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.11711711711711711
BERT LLM | MLP + text encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,I2T,111,52,0.5347490347490347,0.018018018018018018,0.04504504504504504,0.09009009009009009
BERT LLM | MLP + text encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,T2I,111,52,0.5347490347490347,0.009009009009009009,0.04504504504504504,0.11711711711711711
BERT LLM | MLP + image + text encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,I2T,111,8,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.09009009009009009
BERT LLM | MLP + image + text encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,T2I,111,8,0.44342647732478246,0.0,0.05405405405405406,0.09009009009009009
BERT LLM | MLP + image + text encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,I2T,111,27,0.44342647732478246,0.0,0.02702702702702703,0.07207207207207207
BERT LLM | MLP + image + text encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,T2I,111,27,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.09009009009009009
BERT LLM | MLP + image + text encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,I2T,111,52,0.44342647732478246,0.009009009009009009,0.05405405405405406,0.08108108108108109
BERT LLM | MLP + image + text encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,T2I,111,52,0.44342647732478246,0.018018018018018018,0.04504504504504504,0.09009009009009009
BERT standard | MLP heads only,fewshot_retrieval,0.01,42,liver,liver_holdout,I2T,111,8,0.44342647732478246,0.009009009009009009,0.07207207207207207,0.0990990990990991
BERT standard | MLP heads only,fewshot_retrieval,0.01,42,liver,liver_holdout,T2I,111,8,0.44342647732478246,0.018018018018018018,0.05405405405405406,0.09009009009009009
BERT standard | MLP heads only,fewshot_retrieval,0.05,42,liver,liver_holdout,I2T,111,27,0.5232571096061706,0.009009009009009009,0.04504504504504504,0.08108108108108109
BERT standard | MLP heads only,fewshot_retrieval,0.05,42,liver,liver_holdout,T2I,111,27,0.5232571096061706,0.009009009009009009,0.04504504504504504,0.09009009009009009
BERT standard | MLP heads only,fewshot_retrieval,0.1,42,liver,liver_holdout,I2T,111,52,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.08108108108108109
BERT standard | MLP heads only,fewshot_retrieval,0.1,42,liver,liver_holdout,T2I,111,52,0.44342647732478246,0.018018018018018018,0.02702702702702703,0.08108108108108109
BERT standard | MLP + image encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,I2T,111,8,0.5431539981986104,0.018018018018018018,0.06306306306306306,0.10810810810810811
BERT standard | MLP + image encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,T2I,111,8,0.5431539981986104,0.009009009009009009,0.06306306306306306,0.13513513513513514
BERT standard | MLP + image encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,I2T,111,27,0.5138070401228295,0.0,0.018018018018018018,0.11711711711711711
BERT standard | MLP + image encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,T2I,111,27,0.5138070401228295,0.018018018018018018,0.08108108108108109,0.13513513513513514
BERT standard | MLP + image encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,I2T,111,52,0.46338273757628595,0.009009009009009009,0.04504504504504504,0.0990990990990991
BERT standard | MLP + image encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,T2I,111,52,0.46338273757628595,0.009009009009009009,0.05405405405405406,0.09009009009009009
BERT standard | MLP + text encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,I2T,111,8,0.44342647732478246,0.009009009009009009,0.018018018018018018,0.06306306306306306
BERT standard | MLP + text encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,T2I,111,8,0.44342647732478246,0.009009009009009009,0.05405405405405406,0.09009009009009009
BERT standard | MLP + text encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,I2T,111,27,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.09009009009009009
BERT standard | MLP + text encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,T2I,111,27,0.44342647732478246,0.018018018018018018,0.08108108108108109,0.16216216216216217
BERT standard | MLP + text encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,I2T,111,52,0.5608918764508176,0.009009009009009009,0.04504504504504504,0.09009009009009009
BERT standard | MLP + text encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,T2I,111,52,0.5608918764508176,0.0,0.04504504504504504,0.10810810810810811
BERT standard | MLP + image + text encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,I2T,111,8,0.5470487930370319,0.018018018018018018,0.08108108108108109,0.10810810810810811
BERT standard | MLP + image + text encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,T2I,111,8,0.5470487930370319,0.018018018018018018,0.06306306306306306,0.10810810810810811
BERT standard | MLP + image + text encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,I2T,111,27,0.5268952592896254,0.009009009009009009,0.036036036036036036,0.10810810810810811
BERT standard | MLP + image + text encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,T2I,111,27,0.5268952592896254,0.018018018018018018,0.04504504504504504,0.13513513513513514
BERT standard | MLP + image + text encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,I2T,111,52,0.4884285483087878,0.018018018018018018,0.018018018018018018,0.0990990990990991
BERT standard | MLP + image + text encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,T2I,111,52,0.4884285483087878,0.009009009009009009,0.02702702702702703,0.09009009009009009
