epoch,train_loss,val_auroc,val_accuracy,val_f1_weighted,model,fewshot_frac,seed,organ
4,0.9959911704063416,0.6825539344057864,0.5945945945945946,0.44342647732478246,BERT standard | MLP heads only,0.05,42,liver
1,1.2197485119104385,0.590869341563786,0.5945945945945946,0.44342647732478246,BERT standard | MLP heads only,0.1,42,liver
2,0.9907446056604385,0.7521137298915077,0.5945945945945946,0.44342647732478246,BERT standard | MLP heads only,0.1,42,liver
3,1.0439923852682114,0.7268237934904601,0.5945945945945946,0.44342647732478246,BERT standard | MLP heads only,0.1,42,liver
4,0.9500769674777985,0.7430048946252651,0.5945945945945946,0.44342647732478246,BERT standard | MLP heads only,0.1,42,liver
1,3.4881954193115234,0.5948575258760445,0.21621621621621623,0.1757737774071712,BERT standard | MLP + image encoder,0.01,42,liver
2,1.4526185989379883,0.7534145467015837,0.6126126126126126,0.5431539981986104,BERT standard | MLP + image encoder,0.01,42,liver
3,1.0779750347137451,0.7386878039655818,0.5945945945945946,0.4773708619862466,BERT standard | MLP + image encoder,0.01,42,liver
4,1.052407145500183,0.6813988651951615,0.6126126126126126,0.4906410169568064,BERT standard | MLP + image encoder,0.01,42,liver
1,3.000191390514374,0.7224989088415015,0.6216216216216216,0.5138070401228295,BERT standard | MLP + image encoder,0.05,42,liver
2,1.0692308247089386,0.7379528307769049,0.5945945945945946,0.44594594594594594,BERT standard | MLP + image encoder,0.05,42,liver
3,1.3989343643188477,0.7838391632373115,0.6036036036036037,0.4643924596865774,BERT standard | MLP + image encoder,0.05,42,liver
4,0.9669428765773773,0.8035205449557302,0.6036036036036037,0.4643924596865774,BERT standard | MLP + image encoder,0.05,42,liver
1,1.8135197162628174,0.4621578438708068,0.4864864864864865,0.3963963963963964,BERT standard | MLP + image encoder,0.1,42,liver
2,1.0989451557397842,0.5415489774286071,0.6036036036036037,0.46338273757628595,BERT standard | MLP + image encoder,0.1,42,liver
3,0.9823623895645142,0.7718691545080434,0.5945945945945946,0.44342647732478246,BERT standard | MLP + image encoder,0.1,42,liver
4,1.0076962411403656,0.7791082117471007,0.6036036036036037,0.46338273757628595,BERT standard | MLP + image encoder,0.1,42,liver
1,3.177375078201294,0.46355920314253646,0.5945945945945946,0.44342647732478246,BERT standard | MLP + text encoder,0.01,42,liver
2,3.3985300064086914,0.5185154009228083,0.2702702702702703,0.11500862564692352,BERT standard | MLP + text encoder,0.01,42,liver
3,2.074631690979004,0.6566373612669909,0.2702702702702703,0.11500862564692352,BERT standard | MLP + text encoder,0.01,42,liver
4,1.3165733814239502,0.7095694600324229,0.13513513513513514,0.032175032175032175,BERT standard | MLP + text encoder,0.01,42,liver
