average_type,n_organs,auroc,accuracy,f1_weighted,model,setting,fewshot_frac,seed
macro,3,0.7601547844699464,0.6167220376522703,0.6255997335457824,MLP heads only,fewshot_adaptation,0.05,44
weighted_by_test_n,3,0.7512248269770117,0.6052631578947368,0.615611752024809,MLP heads only,fewshot_adaptation,0.05,44
macro,3,0.7696209740473262,0.6386137118695259,0.6391106680572382,MLP heads only,fewshot_adaptation,0.05,45
weighted_by_test_n,3,0.7586631319392453,0.6118421052631579,0.6155278297641311,MLP heads only,fewshot_adaptation,0.05,45
macro,3,0.7532252899328832,0.6260797342192691,0.6336934005197546,MLP heads only,fewshot_adaptation,0.05,46
weighted_by_test_n,3,0.7396744975926361,0.6019736842105263,0.6105175079359629,MLP heads only,fewshot_adaptation,0.05,46
macro,3,0.774049276724483,0.6387169032517869,0.6405129898603468,MLP heads only,fewshot_adaptation,0.1,42
weighted_by_test_n,3,0.7566537715268963,0.6134868421052632,0.6179232921775345,MLP heads only,fewshot_adaptation,0.1,42
macro,3,0.784031350140412,0.6055698177791201,0.6144430878771621,MLP heads only,fewshot_adaptation,0.1,43
weighted_by_test_n,3,0.7705794249745874,0.5970394736842105,0.6061966405081031,MLP heads only,fewshot_adaptation,0.1,43
macro,3,0.7255015741279217,0.5707918050941306,0.5834343153044603,MLP heads only,fewshot_adaptation,0.1,44
weighted_by_test_n,3,0.7098013494997332,0.569078947368421,0.5793719479405833,MLP heads only,fewshot_adaptation,0.1,44
macro,3,0.7891905388776248,0.6214008859357696,0.6267645899297357,MLP heads only,fewshot_adaptation,0.1,45
weighted_by_test_n,3,0.7742090863844912,0.600328947368421,0.608332448692955,MLP heads only,fewshot_adaptation,0.1,45
macro,3,0.772355429024216,0.5735754555521998,0.589338874340574,MLP heads only,fewshot_adaptation,0.1,46
weighted_by_test_n,3,0.7553925802692852,0.5740131578947368,0.5916017024367165,MLP heads only,fewshot_adaptation,0.1,46
macro,3,0.6550428113219152,0.579243430987617,0.5660655660203919,OpenAI CLIP,fewshot_adaptation,0.01,42
weighted_by_test_n,3,0.6765751797722377,0.569078947368421,0.5651114231212223,OpenAI CLIP,fewshot_adaptation,0.01,42
macro,3,0.6971356140011956,0.5330438940904056,0.5383840069097027,OpenAI CLIP,fewshot_adaptation,0.01,43
weighted_by_test_n,3,0.6683533511585135,0.5115131578947368,0.5120634617633213,OpenAI CLIP,fewshot_adaptation,0.01,43
macro,3,0.6691746077087842,0.49148545253196413,0.5195369714246391,OpenAI CLIP,fewshot_adaptation,0.01,44
weighted_by_test_n,3,0.6657360230555418,0.49506578947368424,0.5140184230753799,OpenAI CLIP,fewshot_adaptation,0.01,44
macro,3,0.6741053678681262,0.5460334239404007,0.5350197434836742,OpenAI CLIP,fewshot_adaptation,0.01,45
weighted_by_test_n,3,0.6652409393356558,0.537828947368421,0.5219657110197918,OpenAI CLIP,fewshot_adaptation,0.01,45
macro,3,0.7126301667709529,0.5627302929628512,0.556139931043185,OpenAI CLIP,fewshot_adaptation,0.01,46
weighted_by_test_n,3,0.6967826647428087,0.5476973684210527,0.5364368165357609,OpenAI CLIP,fewshot_adaptation,0.01,46
macro,3,0.7101030755400869,0.590045806906272,0.5912368999447154,OpenAI CLIP,fewshot_adaptation,0.05,42
weighted_by_test_n,3,0.7189008783036442,0.5822368421052632,0.5850661038031635,OpenAI CLIP,fewshot_adaptation,0.05,42
macro,3,0.7217570965065877,0.5878813047417699,0.5796156901097352,OpenAI CLIP,fewshot_adaptation,0.05,43
weighted_by_test_n,3,0.7134511323353702,0.5805921052631579,0.5769700585930186,OpenAI CLIP,fewshot_adaptation,0.05,43
macro,3,0.7243518152144945,0.5611421524212222,0.5698064205566963,OpenAI CLIP,fewshot_adaptation,0.05,44
weighted_by_test_n,3,0.6988814048380385,0.5427631578947368,0.5503710576944433,OpenAI CLIP,fewshot_adaptation,0.05,44
macro,3,0.7435210562758349,0.6274614919963758,0.618889332677438,OpenAI CLIP,fewshot_adaptation,0.05,45
weighted_by_test_n,3,0.7306707850022545,0.6101973684210527,0.6033345759558166,OpenAI CLIP,fewshot_adaptation,0.05,45
macro,3,0.7183542613410863,0.5658210007047216,0.5735911563512613,OpenAI CLIP,fewshot_adaptation,0.05,46
weighted_by_test_n,3,0.6897390649980115,0.537828947368421,0.5425798147291752,OpenAI CLIP,fewshot_adaptation,0.05,46
macro,3,0.7961762833421918,0.6647538508003624,0.6656443479405162,OpenAI CLIP,fewshot_adaptation,0.1,42
weighted_by_test_n,3,0.7702403639105438,0.6447368421052632,0.6442173005521244,OpenAI CLIP,fewshot_adaptation,0.1,42
macro,3,0.7465105443032068,0.6099994966274035,0.6062974555976594,OpenAI CLIP,fewshot_adaptation,0.1,43
weighted_by_test_n,3,0.7180883848932406,0.5855263157894737,0.5825508258606826,OpenAI CLIP,fewshot_adaptation,0.1,43
macro,3,0.7524211911551905,0.5951172858149603,0.6125166295912144,OpenAI CLIP,fewshot_adaptation,0.1,44
weighted_by_test_n,3,0.7298944266924787,0.5888157894736842,0.6037139009711862,OpenAI CLIP,fewshot_adaptation,0.1,44
macro,3,0.7699901355765669,0.630944830363435,0.6314738590573789,OpenAI CLIP,fewshot_adaptation,0.1,45
weighted_by_test_n,3,0.7475099182809725,0.6118421052631579,0.609830293199658,OpenAI CLIP,fewshot_adaptation,0.1,45
macro,3,0.759620183052248,0.6031762810832578,0.6144582298607757,OpenAI CLIP,fewshot_adaptation,0.1,46
weighted_by_test_n,3,0.7421428531414791,0.5838815789473685,0.5925996102696578,OpenAI CLIP,fewshot_adaptation,0.1,46
